UDI,Product ID,Type,Cooling temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Lubricant pressure [bar],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Air temperature [K]
5287,L52466,L,198.5115469,313.1,1422,42.4,2.889465346,152,,0,0,0,0,303.8
5216,M20075,M,199.0654176,312.7,1532,42.7,9.812874406,194,0,0,0,0,0,303.7
2164,L49343,L,193.4328443,309.2,1422,39.8,1.851807489,219,0,0,0,0,0,299.6
6578,L53757,L,230.5671516,310.4,1388,45.3,3.256805595,188,0,0,0,0,0,301.4
8450,L55629,L,222.5480058,309.9,1725,27.8,7.36460301,21,0,0,0,0,0,298.4
381,L47560,L,307.8757534,308.3,2564,12.8,6.054105765,127,0,0,1,0,0,297.5
8509,M23368,M,237.8109751,309.7,1679,33.3,5.680470216,167,0,0,0,0,0,298.4
1293,M16152,M,104.9625904,309.7,1868,23.8,3.279039718,118,0,0,0,0,0,298.7
1913,M16772,M,158.3583184,307.7,1621,34.9,7.746466592,194,0,0,0,0,0,298
600,H30013,H,220.3509766,309.7,1616,31.1,7.587180989,20,0,0,0,0,0,297.7
3893,M18752,M,313.9802265,311.1,1338,53.3,8.35850681,63,0,0,0,0,0,302.3
4142,H33555,H,119.2099186,310.1,1462,38.3,8.868540625,49,0,0,0,0,0,
1653,H31066,H,135.8341111,307.8,1635,34,7.784569328,142,0,0,0,0,0,297.9
5225,L52404,L,151.0846277,313.2,1590,31.9,7.299163552,5,0,0,0,0,0,
1894,L49073,L,175.9055954,307.5,1631,29.9,7.079824558,144,0,0,0,0,0,297.8
1945,L49124,L,329.8908075,308.1,1791,27.3,5.959342758,63,0,0,0,0,0,298.1
3396,L50575,L,144.0766919,310.5,1647,33.3,5.200926449,85,0,0,0,0,0,301.4
5480,M20339,M,190.8648868,312.1,1564,32.1,4.00774948,188,0,0,0,0,0,302.7
9770,L56949,L,394.9153116,309.6,1386,,7.27472383,25,0,0,0,0,0,298.6
376,L47555,L,374.918173,308.2,1533,37.4,5.888766711,115,0,0,0,0,0,297.4
1967,L49146,L,211.1677663,307.6,1515,40.5,7.129062431,118,0,0,0,0,0,297.9
3958,L51137,L,119.6972686,311.4,1510,44.9,3.516969536,33,0,0,0,0,0,302.2
7136,L54315,L,321.006256,309.9,1443,48.3,1.913802576,122,0,0,0,0,0,300.5
7479,L54658,L,289.4485322,311.3,1479,,2.473842648,133,0,0,0,0,0,300.1
4506,L51685,L,300.9751646,310.1,1426,46.8,9.010561177,95,0,0,0,0,0,302.4
9581,M24440,M,235.9350236,310.7,1423,56.5,2.147518548,7,0,0,0,0,0,299.5
5289,L52468,L,142.2998058,313.2,1531,39.4,6.469747823,159,0,0,0,0,0,303.8
1472,L48651,L,363.8501272,309.6,1421,53.6,3.76896456,122,0,0,0,0,0,298.5
3347,L50526,L,335.7133673,310.7,1761,24.3,4.58840924,174,0,0,0,0,0,301.3
6254,L53433,L,189.1246878,310.4,1615,30.9,2.053573126,200,0,0,0,0,0,300.9
2854,M17713,M,275.3661998,309.3,1539,39.1,4.402493343,216,0,0,0,0,0,300.5
8989,L56168,L,160.1280745,307.9,1825,24.6,8.853377767,142,,0,0,0,0,297.2
9776,M24635,M,379.2722562,309.5,1684,27.8,6.35456534,44,0,0,0,0,0,298.6
6460,M21319,M,231.3709997,310,1397,,3.175879699,90,0,0,0,0,0,300.6
4063,L51242,L,128.7405135,310.9,1446,44,9.827419331,64,0,0,0,0,0,302
5864,M20723,M,129.8279965,311.1,1758,25.4,4.223024441,88,0,0,0,0,0,301.4
4307,L51486,L,122.8747204,310,1869,22.9,4.945952252,18,0,0,0,0,0,301.6
4878,M19737,M,199.7311601,312.4,1546,33.7,7.331914665,149,0,0,0,0,0,303.7
7250,L54429,L,246.7809706,310,1402,44.7,4.409182493,204,0,0,0,0,0,299.9
5274,L52453,,363.1010565,313.1,1395,44.1,6.12644691,120,0,0,0,0,0,
3991,H33404,H,255.0654607,311.2,1692,28.2,9.596995703,122,0,0,0,0,0,302.2
1050,L48229,L,299.494587,307.6,1415,44.2,1.292138361,106,0,0,0,0,0,296.5
6176,L53355,L,351.5973188,310.8,1517,44.3,6.46194184,4,0,0,0,0,0,300.9
6927,H36340,H,168.898874,311.6,1417,53.4,6.08045273,0,0,0,0,0,0,301.1
7865,L55044,L,201.9829664,311.9,1330,59.5,5.919098981,33,0,0,0,0,0,300.5
2036,M16895,M,232.9632213,308.6,1469,34.2,7.285605294,93,0,0,0,0,0,298.9
4040,L51219,L,302.4145339,310.8,1567,39.3,5.268332364,9,0,0,0,0,0,301.9
6876,M21735,M,162.2556086,311.2,1592,32.9,4.300877732,82,0,0,0,0,0,300.8
9355,M24214,M,196.5927026,308.8,1607,31.9,4.499194998,39,0,0,0,0,0,298.2
1973,L49152,L,313.7776118,307.6,1612,30.7,5.233023988,134,0,0,0,0,0,
5073,L52252,L,171.9349536,313,1408,45.3,6.097708909,28,0,0,0,0,0,304.1
2100,L49279,L,259.2205561,309.3,1596,31.8,9.968180696,40,,0,0,0,0,299.4
1500,M16359,M,220.1019471,308.8,2206,16.3,1.155847857,195,0,0,0,0,0,298.1
9613,M24472,M,185.1257874,310.2,1625,31.8,8.438599268,89,0,0,0,0,0,
653,L47832,L,185.883677,309.2,1391,44.5,7.003923116,159,0,0,0,0,0,297.7
171,M15030,M,146.371097,308.2,1610,35,9.643730119,24,0,0,0,0,0,298.4
4086,H33499,H,197.4314604,310.5,1841,23.6,1.725468365,119,0,0,0,0,0,302
243,L47422,L,380.3618689,308.2,1348,58.8,3.33441231,202,0,0,0,1,0,298
5711,H35124,H,265.0710462,311.7,1413,46.5,2.332671884,147,0,0,0,0,0,302.2
6973,L54152,,359.9272489,311,1377,49.9,7.246809391,124,0,0,0,0,0,300.7
2757,L49936,L,358.3719406,309.2,1781,29.6,8.193020923,201,0,0,0,0,0,299.7
6885,L54064,L,116.2082034,311.2,1492,39,5.14755543,109,0,0,0,0,0,300.8
5447,L52626,L,297.2621037,312.9,1511,40.1,5.76267343,107,0,0,0,0,0,303.1
2077,L49256,L,333.683641,309.3,1544,36,3.606524863,197,0,0,0,0,0,299.4
4104,L51283,L,244.8846331,310.4,1448,43.4,8.185728744,167,0,0,0,0,0,302
9560,L56739,L,126.1291803,310.9,1496,38.5,6.118587817,162,0,0,0,0,0,299.5
7572,L54751,L,183.8769618,311.1,1606,30.9,2.405016004,156,0,0,0,0,0,300.3
9467,L56646,L,130.8962364,309.4,1471,48,7.289583291,141,0,0,0,0,0,298.6
4895,H34308,H,371.2752016,312.5,1447,46.6,3.797128504,198,0,0,0,0,0,303.8
6693,M21552,M,128.4774362,311,1839,23.6,5.902428904,30,0,0,0,0,0,301.8
8055,L55234,L,102.9415051,311.8,1405,47.9,4.515343324,58,0,0,0,0,0,300.4
5390,L52569,L,303.0885416,312.3,1366,49.1,9.060055131,221,0,0,0,0,0,302.8
9374,L56553,L,396.7082851,308.5,1453,45.5,3.746061351,86,0,0,0,0,0,297.7
8022,M22881,M,265.6353382,312,1499,34.6,2.007653776,207,0,0,0,0,0,301
8605,L55784,L,129.0293051,308.2,1297,52.1,9.797450729,211,0,0,0,0,0,297.4
4481,H33894,H,382.0275859,310.4,1305,55.2,5.146498902,20,0,1,0,0,0,302.7
8327,H37740,H,124.9062693,309.5,1523,34.2,3.192420138,119,0,0,0,0,0,298.6
4079,H33492,H,130.9603556,310.7,1294,62.4,5.003446123,101,0,1,0,0,0,302.1
641,M15500,M,131.6126117,309.6,1515,38.8,3.730983703,124,,0,0,0,0,297.9
1271,M16130,M,356.1439156,309.4,1276,65.9,7.184244916,50,0,0,0,0,0,298
2779,L49958,L,397.9009884,309.4,1308,50.2,3.742712246,32,0,0,0,0,0,300
9498,H38911,H,367.0583716,309.9,1443,40.3,1.08861633,0,0,0,0,0,0,299.1
3862,M18721,M,158.7381748,311.5,1481,41.1,2.946742889,215,0,0,0,0,0,302.5
3481,L50660,L,328.2354096,310.8,1400,58.2,8.741054428,79,0,0,0,0,0,301.9
1535,L48714,L,155.8905641,308.8,1757,29.1,6.842407401,71,0,0,0,0,0,298
326,L47505,L,227.7251451,308.5,1699,27.8,3.993944558,199,0,0,0,0,0,297.8
2339,L49518,L,279.4527559,308.3,1651,28,3.216804963,6,0,0,0,0,0,299.3
3981,M18840,M,267.0410881,311.3,1375,47,7.968843278,98,0,0,0,0,0,302.2
6878,M21737,M,159.8937552,311.2,1488,40.1,8.236579313,87,0,0,0,0,0,300.8
4055,M18914,M,270.9007242,310.9,1456,43.6,7.39340013,45,0,0,0,0,0,301.9
2238,L49417,L,180.2511886,308.6,1403,50.6,6.342471657,189,0,0,0,0,0,299.3
7107,L54286,L,294.7218709,310.5,1482,39,1.96038143,47,0,0,0,0,0,300.8
9669,L56848,L,382.3769796,310.3,1619,35.2,8.414665958,240,0,0,0,0,0,299.1
4746,H34159,H,245.0532744,311.2,1475,43.1,3.274896254,20,0,0,0,0,0,303.2
865,M15724,M,378.1770665,306.7,2044,22.3,1.549033239,48,0,0,0,0,0,296
6204,L53383,L,277.2837688,310.9,1404,41.8,9.536709731,71,0,0,0,0,0,301
5509,L52688,L,232.4530253,312.2,1367,55.1,8.00294602,50,0,0,0,0,0,302.9
7430,L54609,L,299.5009379,311.4,1590,33.6,1.218634441,5,0,0,0,0,0,300
372,L47551,L,387.9005333,308.4,1604,38.1,7.556681978,106,,0,0,0,0,297.5
6297,L53476,L,250.0441064,310.5,1429,39.4,5.108177508,98,0,0,0,0,0,301
5552,H34965,H,113.6559197,311.9,1366,47.3,4.676698883,162,0,0,0,0,0,302.4
5724,M20583,M,348.5667052,311.8,1475,48,1.598219937,180,0,0,0,0,0,302.3
5900,H35313,H,393.1567909,310.6,1686,27.7,9.734087756,176,0,0,0,0,0,
9288,L56467,L,315.5743964,308.9,1709,28.1,4.747272524,81,0,0,0,0,0,298.2
7872,L55051,L,363.1899353,312.2,1308,54.7,8.445053357,52,0,0,0,0,0,300.6
2365,L49544,L,227.5111857,308.5,1366,49.7,5.321570815,74,0,0,0,0,0,
3214,L50393,L,394.7415801,309.2,1752,29,1.431078452,52,0,0,0,0,0,300.4
912,M15771,M,100.2292971,306.1,1490,42.7,8.885120388,171,0,0,0,0,0,295.6
9048,L56227,L,383.3246122,308.4,1488,37.4,7.864153416,69,0,0,0,0,0,297.3
9791,L56970,L,306.670456,309.5,1483,43.2,4.756339035,92,0,0,0,0,0,298.6
7290,L54469,L,379.1087056,310.6,1433,53.8,3.058567934,86,0,0,0,0,0,
9959,M24818,M,228.882412,307.8,1525,35.9,6.797386327,132,0,0,0,0,0,298.1
6537,L53716,L,377.2674583,310.5,1406,47.1,4.514549996,83,0,0,0,0,0,301.3
9193,L56372,L,349.7223245,309,1562,35.8,2.998187495,40,0,0,0,0,0,297.9
1424,L48603,L,188.8904132,309.8,1539,33.4,2.943410915,2,0,0,0,0,0,298.7
9808,L56987,L,176.5303082,309,1413,55,1.300419566,145,0,0,0,0,0,298.2
480,M15339,M,303.8324874,308.9,1323,57.3,6.045943662,163,0,0,0,0,0,297.4
663,M15522,,259.0733966,308.9,1479,38.1,8.51131911,182,0,0,0,0,0,297.6
4477,L51656,L,339.3022264,310.4,1415,52.1,4.136147825,12,0,0,0,0,0,302.6
8983,L56162,L,336.8266513,307.7,1315,60.1,4.844810604,128,0,0,0,0,0,297
8078,L55257,L,346.9021399,311.8,1547,39.7,7.737344147,121,0,0,0,0,0,300.3
2989,M17848,M,387.1410383,309.8,1532,42.5,4.592119466,130,0,0,0,0,0,300.6
1120,L48299,L,277.5511769,307.5,1340,59.1,3.55153444,89,0,0,0,0,0,296.5
2777,L49956,L,352.0469816,309.4,1453,47.6,4.42176875,28,,0,0,0,0,300.1
9836,L57015,L,295.8013023,309.3,1545,36.9,1.979030745,3,0,0,0,0,0,298.4
5004,L52183,L,262.283331,312.8,1437,51.3,5.723613801,42,0,0,0,0,0,303.7
6650,M21509,M,358.0963582,310.4,1350,54.9,8.012491071,153,0,0,0,0,0,301.5
7255,L54434,L,289.723373,310.4,1493,37.5,6.471865571,219,0,0,0,0,0,300.3
4428,M19287,M,259.0902643,310.1,1379,48.9,6.398959434,107,0,1,0,0,0,302.4
7432,M22291,M,325.2038114,311.4,1352,61.8,2.028342888,10,,0,0,0,0,300
3982,M18841,M,368.7305228,311.3,1931,21.9,3.965442199,101,0,0,0,0,0,302.2
6352,L53531,L,174.2806563,309.7,1542,47.1,9.757604485,25,0,0,0,0,0,300
2894,M17753,M,153.2047711,309.6,1568,35.2,1.200008771,82,0,0,0,0,0,300.7
2670,H32083,H,282.4233763,309.3,1494,37.8,3.349810743,214,0,0,0,0,0,299.7
3978,M18837,M,204.3367424,311.3,1510,36.6,6.714399469,91,0,0,0,0,0,
5260,L52439,L,153.704312,312.9,1544,36.9,1.752026876,87,0,0,0,0,0,
280,L47459,L,191.1706179,308.1,1819,23.4,7.30247238,78,0,0,0,0,0,298
6731,M21590,M,238.9337979,311,1431,42.3,6.361420853,129,0,0,0,0,0,301.6
6105,M20964,M,331.6871097,310.8,1461,41.3,5.31744127,53,0,0,0,0,0,300.8
7021,L54200,L,377.3760739,310.8,1460,53.8,2.250753952,41,0,0,0,0,0,300.8
1695,L48874,L,230.9632977,307.5,1618,35.2,4.479750145,31,0,0,0,0,0,298
8913,L56092,L,246.0866557,308.5,1446,43.7,9.457637206,171,0,0,0,0,0,297.2
3480,M18339,M,219.2731657,310.8,1619,31,4.455181143,76,0,0,0,0,0,
4417,M19276,M,321.9836802,310.4,1532,36.1,8.87149278,77,0,0,0,0,0,302.6
7593,M22452,M,328.1003072,311.2,1551,36.6,7.906870424,205,0,0,0,0,0,300.5
6283,M21142,M,205.9766514,310.8,1418,45.4,3.282418769,59,,0,0,0,0,301.3
5604,L52783,L,267.4839136,312.2,1340,57.8,5.08621488,90,0,0,0,0,0,302.9
8620,H38033,H,322.0152797,308.6,1480,39.8,5.917714457,19,,0,0,0,0,297.6
7781,L54960,L,139.4876441,311.6,1815,23.5,8.118261501,49,0,0,0,0,0,
4297,L51476,L,174.305338,310.2,2825,5.8,2.495697135,215,0,0,1,0,0,301.8
4594,L51773,L,313.7451934,311.2,1409,41.9,6.362173448,98,0,0,0,0,0,303
4845,M19704,M,362.6423612,311.8,1316,50.9,6.304462898,69,0,1,0,0,0,303.4
2210,L49389,L,338.204888,309.3,1386,49.4,6.801760465,116,0,0,0,0,0,299.8
7606,H37019,H,144.0916307,311.3,2026,20.3,5.079252556,26,0,0,0,0,0,300.4
5502,L52681,L,109.4988259,312.1,1543,37.5,2.716562415,33,0,0,0,0,0,302.7
185,L47364,L,140.7771778,308.2,1667,30.6,7.670870895,59,0,0,0,0,0,298.2
4801,M19660,M,118.669746,312.5,1353,51,4.788797588,172,0,0,0,0,0,303.5
4846,M19705,M,398.6757575,311.8,1583,,9.297426757,72,0,0,0,0,0,303.3
2351,L49530,L,153.7176013,308.6,1744,26.4,4.94971123,33,0,0,0,0,0,299.3
554,M15413,M,396.4382039,309.3,1564,36,9.482621469,126,0,0,0,0,0,297.4
1398,L48577,L,250.3502014,310.2,1569,38.2,8.196631976,155,0,0,0,0,0,
1385,L48564,L,164.6173372,310.3,1484,43.8,9.341321868,124,0,0,0,0,0,298.9
9183,M24042,M,190.0446381,309,1576,45,6.594352612,17,0,0,0,0,0,297.8
9818,M24677,M,129.7344287,309.3,1465,42.4,2.168186984,173,0,0,0,0,0,298.5
298,L47477,L,100.1015433,308.5,1713,25.3,7.525520319,124,0,0,0,0,0,298
444,H29857,H,319.3704102,308.5,1469,45.1,6.646471153,63,0,0,0,0,0,297.4
7339,L54518,L,284.53902,310.5,1496,38.8,5.431058992,215,0,0,0,0,0,299.8
2078,L49257,L,252.5237782,309.4,1701,31.2,6.022430469,199,0,0,0,0,0,299.4
7816,M22675,M,254.7472856,311.3,1703,28.4,5.160091251,134,0,0,0,0,0,299.9
2230,L49409,,305.1610453,308.7,1681,30.8,1.264269367,171,0,0,0,0,0,299.4
2843,L50022,L,363.9440183,309.3,1345,53.5,6.49528064,192,0,0,0,0,0,300.3
2538,H31951,H,285.5167923,308.7,1353,48.1,4.335127446,79,0,0,0,0,0,
8146,M23005,M,196.9509786,310.9,1685,32.1,2.647623967,88,0,0,0,0,0,299.7
9537,L56716,L,109.1857015,310.5,1818,26,4.774172445,102,,0,0,0,0,299.3
6444,L53623,L,324.2792441,310.3,1537,33.3,1.621853672,52,0,0,0,0,0,300.8
3368,H32781,H,258.5354494,310.7,1790,26.2,1.114232121,8,0,0,0,0,0,301.5
4487,M19346,M,136.0236289,310.5,1965,20.2,4.622269926,40,0,0,0,0,0,302.6
2579,L49758,L,213.8836834,309.3,1391,46.6,9.711836986,185,0,0,0,0,0,299.4
1132,L48311,L,342.3383199,307.9,1489,33.4,9.68980635,123,0,0,0,0,0,296.8
4819,M19678,M,338.1585593,312.1,1967,20.9,3.094275577,2,0,0,0,0,0,303.6
321,H29734,H,141.3090953,308.4,1550,38.2,6.25552453,185,0,0,0,0,0,297.8
1372,M16231,M,246.8509502,310.3,1495,38.7,4.114709126,88,0,0,0,0,0,
4043,L51222,L,276.4633121,310.9,1564,39,6.775741586,15,0,0,0,0,0,302
9126,L56305,L,128.3572121,308.5,1569,34.2,9.889609558,72,0,0,0,0,0,297.4
5146,L52325,L,119.9623145,313.7,1670,32.9,3.13491128,7,0,0,0,0,0,304.5
908,M15767,,249.9877668,306.1,1669,29,3.665833011,161,0,0,0,0,0,295.6
9427,L56606,L,194.7380602,308.7,1341,55.7,5.308591557,30,0,0,0,0,0,298.1
3951,L51130,L,374.6477735,311.4,1570,37.2,1.522172612,15,0,0,0,0,0,302.3
6146,M21005,M,162.6738785,311.1,1436,41.8,6.000439967,156,0,0,0,0,0,301.1
8887,L56066,L,337.4022202,309,1583,36.7,6.572740893,104,0,0,0,0,0,297.9
6696,M21555,M,202.5739122,311,1311,55.8,5.522712884,39,,0,0,0,,301.7
4978,L52157,L,284.3803682,312.7,1540,44.8,3.71170853,196,,0,0,0,0,303.7
6093,L53272,L,268.742791,310.7,1658,28.5,8.132151343,18,0,0,0,0,0,300.9
8409,M23268,M,179.1211723,309.6,1572,33,2.447638556,127,0,0,0,0,0,298.5
927,L48106,L,133.5521534,306.1,1372,55.6,5.47293244,215,0,0,0,1,0,295.6
6144,M21003,M,107.6002624,310.9,1575,34.6,1.593031225,150,0,0,0,0,0,301
16,L47195,L,295.6480186,309.2,1542,48.4,2.455074721,42,0,0,0,0,0,298.6
144,H29557,H,238.1104304,308.4,1407,50.5,4.806779289,164,0,0,0,0,0,298.6
2364,L49543,L,125.312197,308.5,1510,45.4,7.379165122,72,0,0,0,0,0,299.3
130,L47309,L,116.580659,308.5,1559,34.3,3.991814207,126,0,0,0,0,0,298.9
1162,L48341,L,142.0484441,307.8,1316,61.2,4.246953736,200,0,0,0,1,0,297
7552,M22411,M,376.1152462,311.3,1491,37.3,4.506087499,102,0,0,0,0,0,
6130,M20989,M,137.3972405,311,1508,46.9,5.634309903,113,0,0,0,0,0,301
4666,M19525,M,276.3645703,311.4,1307,54,1.659901303,44,0,1,0,0,0,303.4
5661,L52840,L,306.2561579,311.4,1477,41.7,8.188667626,15,0,0,0,0,0,302.2
6461,L53640,L,392.9106937,310,1313,52.9,5.385272692,93,0,0,0,0,0,300.6
1877,L49056,L,365.8817073,308,1242,62,1.669441561,98,0,0,0,0,0,298.3
2489,L49668,L,103.3306511,308.7,1356,50.7,2.967250196,185,0,0,0,0,0,298.9
5328,M20187,M,145.212642,312.7,2116,16.7,9.466416639,45,0,0,0,0,0,303.5
9362,L56541,L,208.6639123,308.6,1610,33.1,8.185159069,56,0,0,0,0,0,298
1183,L48362,L,286.4369538,308.3,1410,48.1,3.548987807,23,0,0,0,0,0,297.3
6136,L53315,L,298.2754982,310.9,1740,28.9,8.414818785,129,0,0,0,0,0,301
6378,L53557,L,204.7759332,309.6,1541,37,7.294183383,96,0,0,0,0,0,300.1
1171,M16030,M,155.0343847,308.1,1823,24.3,2.412619609,219,0,0,0,0,0,297.1
2183,M17042,M,154.3976607,309.2,1314,61.8,4.329549178,45,0,0,0,0,0,299.5
3372,L50551,L,269.9937611,310.7,1989,21.8,5.831582182,19,0,0,0,0,0,301.4
8041,L55220,L,360.5862618,311.9,1498,39.3,6.709874814,23,0,0,0,0,0,300.8
1860,L49039,L,318.4742539,307.4,1355,45.8,3.936164618,60,0,0,0,0,0,297.8
4861,M19720,M,285.9035741,312.4,1504,49.5,6.199025424,109,0,0,0,0,0,303.6
9256,L56435,L,194.983711,309,1651,31.5,2.455026194,197,0,0,0,0,0,298.2
8346,H37759,H,155.3068501,309.8,1490,35.9,8.054144573,171,0,0,0,0,0,298.8
7348,L54527,L,149.3886842,310.2,1627,36.6,5.481693099,17,0,0,0,0,0,299.6
4865,L52044,L,151.9129746,312.3,1451,43.4,5.695651159,119,0,0,0,0,0,303.6
9887,L57066,L,352.4022697,309.6,1903,22.3,2.474663064,145,0,0,0,0,0,298.8
6389,H35802,H,159.8045544,309.9,1509,46.6,4.123022496,125,0,0,0,0,0,300.3
3122,L50301,L,326.7221753,309.4,2141,17.9,9.316792711,33,0,0,0,0,0,300.1
388,L47567,L,237.7072914,308.7,1249,60.4,3.236107081,143,0,0,0,0,0,297.7
7786,L54965,,166.8932425,311.5,1383,42.1,9.856086993,60,0,0,0,0,0,300.2
1033,L48212,L,388.4292908,307.4,1648,34,1.251997507,60,0,0,0,0,0,296.3
7853,L55032,L,334.0097146,311.7,1515,37.5,7.328685176,5,0,0,0,0,0,300.3
5419,L52598,L,348.2590047,312.4,1398,41.6,2.220415868,40,,0,0,0,0,302.6
932,L48111,L,259.8060921,305.9,1542,36.2,2.791982611,12,0,0,0,0,0,295.5
4020,M18879,M,376.1579371,310.9,1558,45.3,5.397588826,193,0,0,0,0,0,302
692,L47871,L,254.8990234,309.1,1563,39.3,7.176216881,56,0,0,0,0,0,297.7
5299,M20158,M,366.8138659,313.1,2130,18.1,5.140951928,185,0,0,0,0,0,303.7
6659,L53838,L,148.6571524,310.4,1430,50.9,8.876757817,178,0,0,0,0,0,301.4
830,L48009,L,201.6156866,307.3,1579,34.5,4.608613875,166,0,0,0,0,0,296.5
3499,L50678,L,382.3564221,311,1289,54.9,8.564478335,128,0,0,0,0,0,301.9
2082,M16941,M,148.2380221,309.3,1485,47.1,6.243915452,209,,0,0,0,0,299.4
9441,M24300,M,130.8597977,308.8,1378,53.5,6.620788131,65,0,0,0,0,0,298.1
45,M14904,M,209.2715352,309.1,1472,47.5,1.418536733,125,0,0,0,0,0,298.8
3940,L51119,L,285.5592863,311.6,1400,54,2.181914384,196,0,0,0,0,0,302.5
5258,L52437,L,195.6931514,313,1482,,6.411719743,82,0,0,0,0,0,303.5
8438,L55617,L,153.7637428,309.8,1181,65.9,9.195612266,203,0,0,0,1,,298.7
4320,M19179,M,100.4921941,310.2,1411,45.1,9.765625279,54,0,0,0,0,0,301.6
2966,M17825,M,311.4352962,309.5,1838,24.9,6.701153978,66,0,0,0,0,0,300.7
3970,L51149,L,134.7990361,311.4,1504,38.7,7.818107261,65,0,0,0,0,0,302.3
1188,M16047,M,255.5974946,308.6,1522,38,2.479540971,33,0,0,0,0,0,
285,L47464,L,275.2413701,308.3,2051,19.2,9.517912365,90,0,0,0,0,0,298.2
8874,H38287,,137.2557714,309.1,1557,36.4,9.884519229,65,0,0,0,0,0,
4160,M19019,M,209.9320374,310.5,1639,32.9,2.156471016,94,0,0,0,0,0,302
3093,M17952,M,265.4938815,309.3,2293,16.3,1.749636877,170,0,0,0,0,0,300
4557,M19416,M,223.4517522,310.6,1349,51.2,9.810792018,6,0,1,0,0,0,302.7
4585,L51764,L,343.0599032,311.1,1550,32.3,9.355847123,76,,0,0,0,0,302.8
4324,L51503,L,168.1072942,310.3,1341,50.5,7.567833009,64,0,1,0,0,0,301.8
5505,L52684,L,143.3360966,312.2,1458,51,4.338431507,42,0,0,0,0,0,302.8
7075,M21934,M,351.5354545,310.6,1488,39.2,8.607694482,189,0,0,0,0,0,300.7
3365,L50544,L,350.0010224,310.5,1633,39.5,3.786618991,0,0,0,0,0,0,301.4
8026,M22885,M,111.8752757,312,1422,,3.387501023,219,0,0,0,0,0,300.8
3196,M18055,M,291.0757558,309.2,1635,32.4,4.427590119,4,0,0,0,0,0,300
8811,M23670,M,278.1879274,308.5,1625,32.8,1.308028868,92,0,0,0,0,0,297.3
970,L48149,L,125.335783,306.6,1412,,6.219869179,109,0,0,0,0,0,295.9
3735,M18594,M,136.4953623,311.2,1873,24,1.114839704,99,0,0,0,0,0,302.2
926,H30339,H,264.9026191,306.1,1623,30.9,7.158744067,210,0,0,0,0,0,295.6
9497,M24356,M,142.1669319,310,1349,50.4,4.425317994,226,0,0,0,0,0,299.2
6452,L53631,L,299.8143608,310.2,1696,27.5,6.541014875,73,0,0,0,0,0,300.7
8798,L55977,L,245.0839364,308.3,1569,31.2,9.019930987,63,0,0,0,0,0,
2852,L50031,L,323.0699775,309.3,1373,48.8,5.828885636,211,0,0,0,0,0,300.5
5181,L52360,L,239.6290779,313.2,1584,38.7,6.527178363,104,0,0,0,0,0,304
6724,M21583,M,307.5675841,310.6,1565,36.1,5.320806255,110,0,0,0,0,0,301.4
9323,M24182,M,378.2936951,309.3,1512,38.1,4.956466457,170,,0,0,0,0,298.5
7811,L54990,L,212.5984733,311.5,2218,17,9.404470121,123,0,0,0,0,0,300.1
4472,L51651,L,236.0674395,310.6,1670,29.1,8.434132514,2,0,0,0,0,0,
5169,H34582,H,211.8192737,313.4,1696,29.6,8.973851384,65,0,0,0,0,0,304.1
4349,L51528,L,141.1887428,309.8,1507,,5.858403742,131,0,0,0,0,0,301.9
7904,L55083,L,207.1151483,312.3,1435,44.8,8.26176368,134,0,0,0,0,0,300.8
3627,M18486,M,130.8715527,311.5,1360,53,6.871939083,36,0,0,0,0,0,302.2
1790,L48969,L,379.2110657,307.9,1313,67.3,1.082166655,67,0,0,1,0,0,298.2
8294,M23153,M,139.8824631,310.4,1533,44.4,8.072472508,24,0,0,0,0,0,298.9
2060,H31473,H,234.6393246,309.4,1386,44.4,8.655184437,154,0,0,0,0,0,299.5
4014,M18873,M,177.4518447,311.1,1728,34,3.777144817,179,0,0,0,0,0,302.2
1903,L49082,L,247.2869701,307.6,1694,29.1,7.646612485,169,0,0,0,0,0,298
5574,L52753,L,300.9193153,312.2,1738,25.3,6.352570552,14,0,0,0,0,0,302.5
6926,M21785,M,294.3729452,311.6,1266,55.5,6.821017543,210,0,0,0,0,0,301.1
76,L47255,L,162.0138628,308.9,1379,46.7,7.122762012,204,0,0,0,0,0,298.8
2346,L49525,L,366.2637179,308.4,1475,38.7,2.066834905,22,0,0,0,0,0,299.2
5485,M20344,,302.6379864,312,1826,25.3,7.84864033,203,0,0,0,0,0,302.5
431,L47610,L,268.3483143,308.6,1596,37.1,5.453013098,30,0,0,0,0,0,297.5
4587,L51766,L,114.7546228,310.9,1395,48.3,2.39859942,80,0,0,0,0,0,302.7
8100,L55279,L,184.3464932,311.7,1603,30.5,8.934748494,176,0,0,0,0,0,300.2
8458,L55637,L,344.624446,309.9,1393,45.5,6.014499014,38,0,0,0,0,0,298.6
8157,L55336,L,224.7228596,310.8,1644,30.9,2.122634364,114,0,0,0,0,0,299.6
7894,L55073,L,385.0441065,312.7,1416,43.8,7.794555397,112,0,0,0,0,0,300.9
1554,L48733,L,344.4652134,308.8,1332,59.1,9.405415703,115,0,0,0,0,0,298.5
241,M15100,M,378.9817354,308.1,1339,51.6,8.790643269,197,0,0,0,0,0,298
784,H30197,H,147.2685667,307.9,1579,33.4,3.313801102,50,0,0,0,0,0,296.7
